id,kode_provinsi,nama_provinsi,jumlah_pengeluaran_per_kapita,satuan,tahun
341,11,ACEH,9492.0,RUPIAH,2020
342,12,SUMATERA UTARA,10420.0,RUPIAH,2020
343,13,SUMATERA BARAT,10733.0,RUPIAH,2020
344,14,RIAU,10675.0,RUPIAH,2020
345,15,JAMBI,10392.0,RUPIAH,2020
346,16,SUMATERA SELATAN,10652.0,RUPIAH,2020
347,17,BENGKULU,10380.0,RUPIAH,2020
348,18,LAMPUNG,9982.0,RUPIAH,2020
349,19,KEPULAUAN BANGKA BELITUNG,12794.0,RUPIAH,2020
350,21,KEPULAUAN RIAU,14209.0,RUPIAH,2020
351,31,DKI JAKARTA,18227.0,RUPIAH,2020
352,32,JAWA BARAT,10845.0,RUPIAH,2020
353,33,JAWA TENGAH,10930.0,RUPIAH,2020
354,34,DI YOGYAKARTA,14015.0,RUPIAH,2020
355,35,JAWA TIMUR,11601.0,RUPIAH,2020
356,36,BANTEN,11964.0,RUPIAH,2020
357,51,BALI,13929.0,RUPIAH,2020
358,52,NUSA TENGGARA BARAT,10351.0,RUPIAH,2020
359,53,NUSA TENGGARA TIMUR,7598.0,RUPIAH,2020
360,61,KALIMANTAN BARAT,8930.0,RUPIAH,2020
361,62,KALIMANTAN TENGAH,11154.0,RUPIAH,2020
362,63,KALIMANTAN SELATAN,12032.0,RUPIAH,2020
363,64,KALIMANTAN TIMUR,11728.0,RUPIAH,2020
364,65,KALIMANTAN UTARA,8756.0,RUPIAH,2020
365,71,SULAWESI UTARA,10791.0,RUPIAH,2020
366,72,SULAWESI TENGAH,9335.0,RUPIAH,2020
367,73,SULAWESI SELATAN,11079.0,RUPIAH,2020
368,74,SULAWESI TENGGARA,9331.0,RUPIAH,2020
369,75,GORONTALO,10020.0,RUPIAH,2020
370,76,SULAWESI BARAT,9168.0,RUPIAH,2020
371,81,MALUKU,8732.0,RUPIAH,2020
372,82,MALUKU UTARA,8032.0,RUPIAH,2020
373,91,PAPUA BARAT,8086.0,RUPIAH,2020
374,92,PAPUA,6954.0,RUPIAH,2020
375,11,ACEH,9572.0,RUPIAH,2021
376,12,SUMATERA UTARA,10499.0,RUPIAH,2021
377,13,SUMATERA BARAT,10790.0,RUPIAH,2021
378,14,RIAU,10736.0,RUPIAH,2021
379,15,JAMBI,10588.0,RUPIAH,2021
380,16,SUMATERA SELATAN,10662.0,RUPIAH,2021
381,17,BENGKULU,10487.0,RUPIAH,2021
382,18,LAMPUNG,10038.0,RUPIAH,2021
383,19,KEPULAUAN BANGKA BELITUNG,12819.0,RUPIAH,2021
384,21,KEPULAUAN RIAU,14122.0,RUPIAH,2021
385,31,DKI JAKARTA,18520.0,RUPIAH,2021
386,32,JAWA BARAT,10934.0,RUPIAH,2021
387,33,JAWA TENGAH,11034.0,RUPIAH,2021
388,34,DI YOGYAKARTA,14111.0,RUPIAH,2021
389,35,JAWA TIMUR,11707.0,RUPIAH,2021
390,36,BANTEN,12033.0,RUPIAH,2021
391,51,BALI,13820.0,RUPIAH,2021
392,52,NUSA TENGGARA BARAT,10377.0,RUPIAH,2021
393,53,NUSA TENGGARA TIMUR,7554.0,RUPIAH,2021
394,61,KALIMANTAN BARAT,8974.0,RUPIAH,2021
395,62,KALIMANTAN TENGAH,11182.0,RUPIAH,2021
396,63,KALIMANTAN SELATAN,12143.0,RUPIAH,2021
397,64,KALIMANTAN TIMUR,12116.0,RUPIAH,2021
398,65,KALIMANTAN UTARA,9075.0,RUPIAH,2021
399,71,SULAWESI UTARA,10882.0,RUPIAH,2021
400,72,SULAWESI TENGAH,9378.0,RUPIAH,2021
401,73,SULAWESI SELATAN,11184.0,RUPIAH,2021
402,74,SULAWESI TENGGARA,9381.0,RUPIAH,2021
403,75,GORONTALO,10157.0,RUPIAH,2021
404,76,SULAWESI BARAT,9153.0,RUPIAH,2021
405,81,MALUKU,8770.0,RUPIAH,2021
406,82,MALUKU UTARA,8140.0,RUPIAH,2021
407,91,PAPUA BARAT,7929.0,RUPIAH,2021
408,92,PAPUA,6955.0,RUPIAH,2021
409,11,ACEH,9963.0,RUPIAH,2022
410,12,SUMATERA UTARA,10848.0,RUPIAH,2022
411,13,SUMATERA BARAT,11130.0,RUPIAH,2022
412,14,RIAU,11158.0,RUPIAH,2022
413,15,JAMBI,10871.0,RUPIAH,2022
414,16,SUMATERA SELATAN,11109.0,RUPIAH,2022
415,17,BENGKULU,10840.0,RUPIAH,2022
416,18,LAMPUNG,10336.0,RUPIAH,2022
417,19,KEPULAUAN BANGKA BELITUNG,13358.0,RUPIAH,2022
418,21,KEPULAUAN RIAU,14469.0,RUPIAH,2022
419,31,DKI JAKARTA,18927.0,RUPIAH,2022
420,32,JAWA BARAT,11277.0,RUPIAH,2022
421,33,JAWA TENGAH,11377.0,RUPIAH,2022
422,34,DI YOGYAKARTA,14482.0,RUPIAH,2022
423,35,JAWA TIMUR,11992.0,RUPIAH,2022
424,36,BANTEN,12216.0,RUPIAH,2022
425,51,BALI,13942.0,RUPIAH,2022
426,52,NUSA TENGGARA BARAT,10681.0,RUPIAH,2022
427,53,NUSA TENGGARA TIMUR,7877.0,RUPIAH,2022
428,61,KALIMANTAN BARAT,9355.0,RUPIAH,2022
429,62,KALIMANTAN TENGAH,11458.0,RUPIAH,2022
430,63,KALIMANTAN SELATAN,12469.0,RUPIAH,2022
431,64,KALIMANTAN TIMUR,12641.0,RUPIAH,2022
432,65,KALIMANTAN UTARA,9350.0,RUPIAH,2022
433,71,SULAWESI UTARA,11179.0,RUPIAH,2022
434,72,SULAWESI TENGAH,9696.0,RUPIAH,2022
435,73,SULAWESI SELATAN,11430.0,RUPIAH,2022
436,74,SULAWESI TENGGARA,9708.0,RUPIAH,2022
437,75,GORONTALO,10687.0,RUPIAH,2022
438,76,SULAWESI BARAT,9358.0,RUPIAH,2022
439,81,MALUKU,8876.0,RUPIAH,2022
440,82,MALUKU UTARA,8398.0,RUPIAH,2022
441,91,PAPUA BARAT,8101.0,RUPIAH,2022
442,92,PAPUA,7146.0,RUPIAH,2022
443,11,ACEH,10334.0,RUPIAH,2023
444,12,SUMATERA UTARA,11049.0,RUPIAH,2023
445,13,SUMATERA BARAT,11380.0,RUPIAH,2023
446,14,RIAU,11448.0,RUPIAH,2023
447,15,JAMBI,11160.0,RUPIAH,2023
448,16,SUMATERA SELATAN,11472.0,RUPIAH,2023
449,17,BENGKULU,11172.0,RUPIAH,2023
450,18,LAMPUNG,10769.0,RUPIAH,2023
451,19,KEPULAUAN BANGKA BELITUNG,13589.0,RUPIAH,2023
452,21,KEPULAUAN RIAU,14998.0,RUPIAH,2023
453,31,DKI JAKARTA,19373.0,RUPIAH,2023
454,32,JAWA BARAT,11695.0,RUPIAH,2023
455,33,JAWA TENGAH,11835.0,RUPIAH,2023
456,34,DI YOGYAKARTA,14924.0,RUPIAH,2023
457,35,JAWA TIMUR,12421.0,RUPIAH,2023
458,36,BANTEN,12601.0,RUPIAH,2023
459,51,BALI,14382.0,RUPIAH,2023
460,52,NUSA TENGGARA BARAT,11095.0,RUPIAH,2023
461,53,NUSA TENGGARA TIMUR,8248.0,RUPIAH,2023
462,61,KALIMANTAN BARAT,9810.0,RUPIAH,2023
463,62,KALIMANTAN TENGAH,11878.0,RUPIAH,2023
464,63,KALIMANTAN SELATAN,12953.0,RUPIAH,2023
465,64,KALIMANTAN TIMUR,13202.0,RUPIAH,2023
466,65,KALIMANTAN UTARA,9734.0,RUPIAH,2023
467,71,SULAWESI UTARA,11497.0,RUPIAH,2023
468,72,SULAWESI TENGAH,10149.0,RUPIAH,2023
469,73,SULAWESI SELATAN,11841.0,RUPIAH,2023
470,74,SULAWESI TENGGARA,10117.0,RUPIAH,2023
471,75,GORONTALO,11069.0,RUPIAH,2023
472,76,SULAWESI BARAT,9718.0,RUPIAH,2023
473,81,MALUKU,9278.0,RUPIAH,2023
474,82,MALUKU UTARA,8834.0,RUPIAH,2023
475,91,PAPUA BARAT,8404.0,RUPIAH,2023
476,94,PAPUA,7562.0,RUPIAH,2023
